@RELATION 'DescriptiveAttributes-weka.filters.unsupervised.attribute.Remove-R320,322-329,331,336,340,343,346-347,350-351,355-357,362-367,373-374,386-409,412,415'

@ATTRIBUTE Cid                                                              string
@ATTRIBUTE AGR_EMP                                                          numeric
@ATTRIBUTE AGR_EXP                                                          numeric
@ATTRIBUTE AGR_IMP                                                          numeric
@ATTRIBUTE AGR_VAL                                                          numeric
@ATTRIBUTE RUR_POP                                                          numeric
@ATTRIBUTE MORT                                                             numeric
@ATTRIBUTE EMPL_BAD                                                         numeric
@ATTRIBUTE CATP_TO_ASSET                                                    numeric
@ATTRIBUTE COMP_CAPIT                                                       numeric
@ATTRIBUTE MON_GROWTH                                                       numeric
@ATTRIBUTE M2                                                               numeric
@ATTRIBUTE CRED_COVER                                                       numeric
@ATTRIBUTE STOCKS                                                           numeric
@ATTRIBUTE WORKER_REMIT                                                     numeric
@ATTRIBUTE EMP_PART_M                                                       numeric
@ATTRIBUTE UNEMP_M                                                          numeric
@ATTRIBUTE UNEMP_F                                                          numeric
@ATTRIBUTE EDU_PRIM_F                                                       numeric
@ATTRIBUTE EDU_PRIM_M                                                       numeric
@ATTRIBUTE EDU_TERT_F                                                       numeric
@ATTRIBUTE EDU_TERT_M                                                       numeric
@ATTRIBUTE LABOR_F                                                          numeric
@ATTRIBUTE LABOR_M                                                          numeric
@ATTRIBUTE LABOR_PARTICIP_RATE                                              numeric
@ATTRIBUTE EDU_TOTAL_F                                                      numeric
@ATTRIBUTE EDU_TOTAL_M                                                      numeric
@ATTRIBUTE UNEM_F                                                           numeric
@ATTRIBUTE UNEM_M                                                           numeric
@ATTRIBUTE POP_14                                                           numeric
@ATTRIBUTE POP_15_64                                                        numeric
@ATTRIBUTE POP_64                                                           numeric
@ATTRIBUTE POP_F                                                            numeric
@ATTRIBUTE POP_GROWTH                                                       numeric
@ATTRIBUTE AGR_F                                                            numeric
@ATTRIBUTE AGR_M                                                            numeric
@ATTRIBUTE EMPL_INDUST_F                                                    numeric
@ATTRIBUTE EMPL_INDUST_M                                                    numeric
@ATTRIBUTE EMPL_SERV_F                                                      numeric
@ATTRIBUTE EMPL_SERV_M                                                      numeric
@ATTRIBUTE EMPL_AGR                                                         numeric
@ATTRIBUTE EMPL_POP                                                         numeric
@ATTRIBUTE UNEMPL_LONG                                                      numeric
@ATTRIBUTE UNEMPL_YOUTH_F                                                   numeric
@ATTRIBUTE UNEMPL_YOUTH_M                                                   numeric
@ATTRIBUTE POP_LARGEST_CITY                                                 numeric
@ATTRIBUTE POP_MILLION_CITY                                                 numeric
@ATTRIBUTE URBAN_POP                                                        numeric
@ATTRIBUTE BAL                                                              numeric
@ATTRIBUTE CRED                                                             numeric
@ATTRIBUTE FDI                                                              numeric
@ATTRIBUTE BNK_HLTH                                                         numeric

@DATA
"1",?,?,?,24.6067,76.1446,98.5,?,?,?,8.8001,31.9421,0.0,?,1.8791,?,?,?,?,?,?,?,15.7,79.7,47.9,?,?,?,?,47.4154,50.3073,2.2772,49.2859,2.4405,?,?,?,?,?,?,?,43.8,?,?,?,57.147,10.6875,23.8554,-35.5458,4.0558,0.4587,?
"2",?,2.3976,0.9069,18.2561,45.5528,16.7,?,?,?,4.9767,82.1007,0.0,?,8.1202,?,?,?,?,?,62.7905,47.3362,45.0,65.4,55.1,?,?,?,?,21.3295,68.1044,10.5661,49.8326,0.2597,?,?,?,?,?,?,?,47.0,?,?,?,?,?,54.4472,-10.3895,38.0464,10.0035,?
"3",?,0.0098,1.5709,9.2998,26.294,20.0,?,?,?,8.6479,61.001,0.0,?,0.1036,?,?,?,?,?,37.7073,25.4198,15.0,71.9,43.7,?,?,?,?,27.4187,67.9145,4.6668,49.4366,1.8854,?,?,?,?,?,?,?,39.4,?,?,?,10.2961,7.7617,73.706,5.951,14.5441,0.7783,?
"4",?,?,?,?,6.5704,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-0.2645,?,?,?,?,?,?,?,?,?,?,?,?,?,93.4296,?,?,?,?
"5",?,?,?,?,13.251,3.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.6337,?,?,?,?,?,?,?,?,?,?,?,?,?,86.749,?,?,?,?
"6",?,?,?,10.0226,40.0938,163.5,?,?,?,8.3595,34.8645,0.0,?,0.0,?,?,?,?,?,?,?,63.1,76.9,69.9,?,?,?,?,47.5818,50.0142,2.404,50.4322,3.1223,?,?,?,?,?,?,?,64.6,?,?,?,42.4028,31.0122,59.9062,12.1345,23.5178,-6.043,?
"8",?,?,?,2.2512,70.1328,9.9,?,?,?,2.5865,102.6055,0.0,?,1.8125,?,?,?,?,?,?,?,?,?,?,?,?,?,?,25.3579,67.5016,7.1417,52.2471,1.0349,?,?,?,?,?,?,?,?,?,?,?,?,?,29.8672,-6.9236,74.4578,6.2478,?
"9",0.6,0.9404,1.0227,9.087,7.3594,14.2,19.0,12.1,7.201,34.8218,33.0245,100.0,3.7577,0.1205,16.1,1.4,2.8,?,?,?,?,47.3,75.0,60.7,?,?,8.8,6.1,24.4151,64.7576,10.8274,51.0662,0.8756,0.3,0.8,9.5,33.3,89.7,65.2,0.6,56.3,2.0,23.1,15.3,34.7411,40.3061,92.6406,-0.0117,18.5423,2.5506,12.1
"10",?,0.1637,1.2026,21.5859,35.8364,16.4,?,16.5,1.3281,19.4668,33.6791,56.0,0.7535,21.3343,?,?,?,?,?,57.6806,36.6495,51.6,73.4,62.6,?,?,?,?,20.345,69.3448,10.3103,48.4634,0.1672,?,?,?,?,?,?,?,51.0,?,?,?,58.5061,37.8683,64.1636,-11.1345,42.754,4.9184,16.5
"12",?,2.9183,0.5643,2.4217,10.6628,4.9,?,5.6,83.9488,7.1429,102.7895,100.0,84.6531,0.1193,13.1,1.1,1.0,?,?,?,?,58.8,71.9,65.3,?,?,5.3,5.2,18.9463,67.0657,13.988,50.2249,1.5984,?,?,?,?,?,?,?,61.9,1.1,11.0,12.4,22.1859,60.1117,89.3372,-3.7221,123.3467,3.6932,5.6
"13",4.9,?,?,?,32.1192,4.0,8.6,7.4,26.8646,-3.7473,175.4991,52.6,50.1159,0.6977,6.9,1.1,1.0,?,?,?,?,54.6,67.7,60.9,?,?,4.3,4.3,14.5133,67.2371,18.2496,51.2125,0.4597,4.5,5.3,12.7,37.9,82.8,56.9,4.9,58.3,1.1,8.7,8.8,30.0791,20.4835,67.8808,1.62,118.4474,1.0498,7.4
"14",37.7,0.0822,1.986,5.4921,46.1114,35.2,?,?,?,20.6581,31.0683,0.0,?,2.9881,?,?,?,?,?,?,?,62.5,68.9,65.6,?,?,6.1,4.3,22.2464,72.0681,5.6855,50.3372,1.3473,43.9,31.8,6.2,21.9,49.9,46.3,37.7,62.0,?,16.3,12.2,40.2395,23.4519,53.8886,22.487,20.086,7.9473,?
"15",?,?,?,2.0975,15.5524,16.9,?,?,?,-0.3463,76.6278,0.0,?,?,?,?,?,?,?,?,?,69.3,79.3,74.1,?,?,14.0,14.1,21.6219,70.9595,7.4188,51.088,1.5249,?,?,?,?,?,?,?,64.1,?,32.2,29.6,?,?,84.4476,-17.4782,81.356,4.4204,?
"16",?,?,?,?,11.2436,9.6,?,?,?,4.0528,74.1479,23.5,1.8571,?,?,?,?,?,?,46.8479,23.641,39.4,87.2,70.5,?,?,?,?,20.1646,77.7161,2.1191,37.6625,1.9202,?,?,?,?,?,?,?,65.3,?,?,?,?,?,88.7564,?,70.0257,?,?
"17",?,?,?,17.677,71.1136,40.9,?,?,15.0223,17.0213,69.7306,0.0,61.1763,12.1051,?,?,?,?,?,?,?,57.3,84.1,70.8,?,?,?,?,30.5737,64.7138,4.7125,49.3541,1.1919,?,?,?,?,?,?,?,67.6,?,?,?,34.5339,14.9467,28.8864,2.2755,49.4199,1.0128,?
"18",2.8,0.4239,1.096,1.4697,55.0898,18.4,?,?,106.389,?,?,0.0,0.401,?,?,1.2,3.2,?,?,?,?,65.9,76.7,71.3,?,?,12.2,10.9,18.9926,70.3843,10.6232,50.1135,0.5016,2.2,3.4,9.9,28.2,83.1,62.8,2.8,63.0,2.3,?,?,?,?,44.9102,?,?,8.4351,?
"19",?,?,?,9.7408,24.5718,5.2,?,15.1,?,44.5757,30.4827,0.0,?,1.6645,?,?,?,94.0432,93.9528,107.1975,76.6024,49.9,62.7,55.7,94.3484,94.2452,?,?,15.1043,71.1294,13.7664,53.556,-0.0951,?,?,?,?,?,?,?,50.3,?,?,?,26.3227,19.8143,75.4282,-2.6677,22.613,2.3134,15.1
"20",1.2,1.4384,1.2761,?,2.4852,4.2,10.3,?,62.0902,3.6375,136.5368,0.0,38.9711,2.0948,6.3,3.5,3.2,?,?,?,?,46.9,59.4,53.0,?,?,7.4,7.7,16.8811,65.4862,17.6328,50.9408,0.851,0.7,1.6,8.7,32.7,90.7,65.7,1.2,49.0,3.4,18.9,20.4,17.71,17.6295,97.5148,-1.376,92.2542,-0.3967,?
"21",?,?,?,?,55.4102,18.3,?,?,?,11.0089,77.3533,0.0,?,?,?,?,?,96.3885,96.0933,32.5151,19.1985,49.1,82.3,65.6,99.8075,98.438,?,?,34.3998,61.671,3.9295,50.0278,2.4301,?,?,?,?,?,?,?,60.4,?,?,?,?,?,44.5898,?,56.4158,?,?
"22",?,?,?,?,54.4408,89.5,?,?,?,6.2397,37.9191,0.0,?,?,?,?,?,?,?,?,?,67.5,78.3,72.8,?,?,?,?,42.951,54.1628,2.8861,50.1879,2.7324,?,?,?,?,?,?,?,72.1,?,?,?,19.8444,?,45.5592,?,23.9604,2.0985,?
